sp_id	gq_type	stcotrbg	persons	latitude	longitude	elevation
450030396	N	420032708001	47	40.4877913	-80.0337602	326.047200
450030397	N	420033204001	87	40.3838510	-79.9947830	289.475694
450030398	N	420034293001	113	40.5480700	-80.0481100	354.887508
450030399	N	420034296001	58	40.5060465	-80.0514385	356.257427
450030400	N	420035638002	44	40.5287560	-80.1435690	352.237417
450030401	N	420034560042	53	40.3275715	-80.1369428	322.926755
450030402	N	420034560042	52	40.3269858	-80.1372175	328.830499
450030403	N	420034705022	170	40.3980171	-80.0656872	335.126577
450030404	N	420034733004	42	40.3720190	-80.0334260	340.236541
450030405	N	420034733004	42	40.3719340	-80.0333700	340.469618
450030406	N	420034733004	42	40.3720190	-80.0334260	340.236541
450030407	N	420034733004	36	40.3720190	-80.0334260	340.236541
450030408	N	420034751014	66	40.3428635	-80.0529540	360.914269
450030409	N	420034772004	139	40.3622741	-80.0003762	327.406268
450030410	N	420034900042	85	40.2897500	-79.9741968	313.162256
450030411	N	420035512002	62	40.3511783	-79.8299645	260.118115
450030412	N	420035041002	17	40.3873590	-79.8281948	321.808136
450030413	N	420035213023	6	40.4328095	-79.7811526	349.684129
450030414	N	420035214011	84	40.4343470	-79.7479457	350.588357
450030415	N	420035252001	36	40.5210935	-79.8476933	228.710237
450030416	N	420035261021	60	40.5000142	-79.7303411	374.219147
450030417	N	420035519002	6	40.3497397	-79.8677211	228.973113
450036279	N	420030902003	29	40.4666752	-79.9579546	265.758383
450036280	N	420039818001	200	40.4784909	-79.9021995	305.037989
450036281	N	420031413001	63	40.4359868	-79.9235655	336.967535
450036282	N	420031413003	146	40.4316013	-79.9239718	325.242241
450036283	N	420031919003	24	40.3960996	-80.0285726	365.560197
450036284	N	420032602002	13	40.4839293	-80.0153740	355.084641
450036285	N	420034020001	90	40.6138934	-79.7420350	291.423216
450036286	N	420034131003	180	40.5874278	-80.0434595	306.189466
450036287	N	420034150011	55	40.5961435	-79.8724790	296.901277
450036288	N	420034292012	219	40.5500720	-80.0173830	347.335034
450036289	N	420034560042	52	40.3280876	-80.1365545	319.891257
450036290	N	420034560042	52	40.3278837	-80.1367139	319.335442
450036291	N	420034735003	50	40.3597963	-80.0604569	300.104485
450036292	N	420034753043	41	40.2914369	-80.0421241	333.029321
450036293	N	420034846002	25	40.3939634	-79.8999984	322.512449
450036294	N	420034890012	108	40.3298162	-79.9374025	332.187613
450036295	N	420034912001	11	40.3227526	-79.9292339	344.619642
450036296	N	420035041002	16	40.3953477	-79.8293190	260.066481
450036297	N	420035094001	57	40.4130408	-79.8208528	273.697891
450036298	N	420035252001	35	40.5177566	-79.8475067	230.003939
450036299	N	420035509001	17	40.3456130	-79.8473787	288.422526
450036300	N	420035519002	5	40.3502300	-79.8595435	251.640034
450036301	N	420035519002	3	40.3521033	-79.8508430	229.117420
450036302	N	420035519002	2	40.3518422	-79.8548209	234.023722
450036303	N	420035519002	2	40.3520975	-79.8593488	230.207089
450036304	N	420035521002	165	40.3476919	-79.8682229	224.829760
450036305	N	420035521002	163	40.3411457	-79.8641020	224.303729
450036306	N	420035604001	68	40.4445962	-79.8897602	275.652567
450036307	N	420035604001	67	40.4445962	-79.8897602	275.652567
450037903	N	420032023003	156	40.4101494	-80.0430314	351.645247
450037904	N	420035638002	44	40.5299813	-80.1406468	353.782461
450037905	N	420034703002	282	40.3742280	-80.0859299	327.282331
450038425	N	420031208002	119	40.4589487	-79.9089128	275.191494
450038426	N	420031414004	60	40.4141302	-79.9207510	265.967826
450038427	N	420034735003	49	40.3557354	-80.0503522	319.412082
450038428	N	420034736024	22	40.3745214	-80.0732649	358.721861
450039015	N	420034150011	53	40.5786880	-79.8665640	259.035405
450039016	N	420034190001	234	40.5405937	-79.8208334	228.348156
450039242	N	420034846002	22	40.3913339	-79.9023900	291.316276
450039243	N	420034911012	77	40.3084270	-79.9476000	350.125325
450039244	N	420034912001	11	40.3283680	-79.9383070	327.454436
450039245	N	420035509001	16	40.3512076	-79.8518238	248.106233
450040296	N	420030902003	26	40.4652825	-79.9576107	273.177823
450040297	N	420031405002	9	40.4528279	-79.9053674	289.375472
450040298	N	420035623002	95	40.4072694	-79.9279524	326.684571
450040299	N	420034560042	44	40.3259874	-80.1376059	338.597182
450040300	N	420034882003	72	40.3904188	-79.8789624	349.595063
450040301	N	420035213012	89	40.4261888	-79.7572896	351.473155
450040302	N	420035213012	86	40.4294342	-79.7513536	371.061152
450041316	N	420030807002	45	40.4575396	-79.9366224	271.070519
450041317	N	420032620002	81	40.4668880	-79.9938862	335.732624
450041318	N	420035638002	39	40.5299813	-80.1406468	353.782461
450041319	N	420034912001	10	40.3044933	-79.9263091	313.385172
450041320	N	420035094001	55	40.4135170	-79.8209417	273.499688
450041321	N	420035214011	80	40.4226647	-79.7435894	326.367084
450042386	N	420032614004	39	40.4671284	-80.0099584	340.943483
450042387	N	420034070024	59	40.6015951	-79.8974719	346.101311
450042388	N	420034133001	159	40.5564590	-80.0387450	363.264626
450042389	N	420034293001	111	40.5471964	-80.0365879	353.984836
450042390	N	420034736012	140	40.3815377	-80.0590313	344.318268
450042391	N	420034751014	64	40.3491150	-80.0483321	378.142206
450046390	N	420030703002	130	40.4502300	-79.9325808	283.427264
450046391	N	420030709001	173	40.4544392	-79.9379456	274.746673
450046392	N	420031005001	41	40.4760159	-79.9343044	334.916944
450046393	N	420031113002	128	40.4702448	-79.9255475	279.405596
450046394	N	420035619001	69	40.4740878	-79.8963098	312.487845
450046395	N	420031920002	82	40.4016212	-80.0253551	350.669956
450046396	N	420034013003	38	40.6194349	-79.7434070	247.308265
450046397	N	420034070021	9	40.6072745	-79.8336627	293.033828
450046398	N	420034080012	111	40.6521055	-79.9766342	372.516162
450046399	N	420034135002	140	40.5792238	-80.0203306	355.486584
450046400	N	420034150021	21	40.5582570	-79.8876119	339.369274
450046401	N	420034323001	65	40.5056483	-80.0689177	301.376170
450046402	N	420034370002	8	40.5521550	-80.1072714	374.757469
450046403	N	420034753042	13	40.2990411	-80.0574574	364.956505
450046404	N	420034773002	181	40.3660158	-79.9690692	370.859840
450046405	N	420034980002	27	40.3245633	-79.8638777	299.317636
450046406	N	420035213021	112	40.4306005	-79.7697823	324.286496
450046407	N	420035233002	167	40.4739510	-79.8329073	327.990323
450046408	N	420035253001	124	40.5274592	-79.8361691	276.288651
450046409	N	420035261014	58	40.5232158	-79.7997961	312.477479
450046410	N	420035262022	4	40.4671388	-79.7464975	364.513206
450046411	N	420035521001	108	40.3463711	-79.8625199	238.548723
