RT,HH_ID,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPEHUGQ,ACCESSINET,ACR,AGS,BATH,BDSP,BLD,BROADBND,COMPOTHX,CONP,DIALUP,ELEFP,ELEP,FS,FULFP,FULP,GASFP,GASP,HFL,HISPEED,HOTWAT,INSP,LAPTOP,MHP,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMARTPHONE,SMP,STOV,TABLET,TEL,TEN,VACS,VALP,VEH,WATFP,WATP,YRBLT,CPLT,FINCP,FPARC,GRNTP,GRPIP,HHL,HHLANP,HHLDRAGEP,HHLDRHISP,HHLDRRAC1P,HHT,HHT2,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PLMPRP,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXAMT,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FCOMPOTHXP,FCONP,FDIALUPP,FELEP,FFINCP,FFSP,FFULP,FGASP,FGRNTP,FHFLP,FHINCP,FHISPEEDP,FHOTWATP,FINSP,FKITP,FLAPTOPP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FPLMPRP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMARTPHONP,FSMOCP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTABLETP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYRBLTP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,GEO_CODE
H,699,5,300,3,10,1046695,1053131,1,2,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,200.0,2.0,2.0,,3.0,,3.0,1.0,9.0,5300.0,1.0,,2.0,5000.0,2.0,1.0,2.0,1.0,6.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,750000.0,1.0,3.0,1100.0,2010.0,1.0,605500.0,4.0,,,1.0,9500.0,55.0,1.0,1.0,1.0,2.0,605500.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,5904.0,3.0,0.0,1.0,2050.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,2,2,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,10001040100
H,700,5,102,3,10,1105263,1117630,13,2,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,170.0,2.0,2.0,,4.0,20.0,1.0,1.0,9.0,700.0,1.0,,2.0,1400.0,2.0,1.0,2.0,1.0,10.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,500000.0,3.0,3.0,710.0,1990.0,1.0,89280.0,4.0,,,1.0,9500.0,71.0,1.0,1.0,1.0,2.0,89280.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,1.0,2145.0,3.0,0.0,1.0,5250.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,21,19,4,12,13,22,4,12,11,3,13,12,4,12,13,13,4,23,13,21,22,22,4,13,14,22,4,14,12,4,13,14,3,14,13,12,4,23,13,3,4,4,23,12,13,3,21,12,13,19,11,12,22,12,13,12,22,4,12,4,4,3,21,13,13,4,22,13,12,23,13,13,26,13,12,13,22,4,13,10001040100
H,701,5,102,3,10,1059761,1070512,82,3,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,200.0,2.0,2.0,,3.0,,3.0,1.0,9.0,500.0,1.0,,,,,3.0,2.0,1.0,8.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,,310000.0,2.0,3.0,700.0,1970.0,1.0,140650.0,4.0,,,1.0,9500.0,65.0,1.0,1.0,1.0,2.0,140650.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,2.0,613.0,,0.0,1.0,3750.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,80,145,83,22,87,140,139,85,88,133,26,83,25,24,75,22,135,82,77,83,76,28,79,131,86,26,26,81,80,23,124,82,155,154,77,125,24,79,79,84,81,24,85,132,82,26,25,86,76,23,134,84,150,139,80,142,28,84,78,86,79,127,77,25,79,137,132,87,82,136,24,86,25,23,76,23,135,76,74,10001040100
H,702,5,102,3,10,1000000,1029928,15,2,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,180.0,2.0,2.0,,2.0,,1.0,1.0,9.0,900.0,1.0,,,,,3.0,2.0,1.0,9.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,400000.0,2.0,3.0,1500.0,1960.0,1.0,172200.0,4.0,,,1.0,9500.0,67.0,1.0,1.0,1.0,2.0,172200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,3.0,630.0,,0.0,1.0,2950.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,24,16,16,12,17,28,14,17,5,4,24,25,6,16,27,4,4,16,16,16,4,15,18,17,14,4,15,16,24,29,5,4,26,14,4,25,27,15,16,16,27,15,12,15,20,28,15,15,5,3,23,24,5,18,27,5,5,14,16,13,4,15,16,19,14,4,18,14,24,29,4,5,26,13,5,26,26,15,15,10001040100
H,703,5,104,3,10,1000000,1029928,36,1,1,1.0,,,1.0,1.0,7.0,1.0,2.0,,2.0,3.0,60.0,2.0,2.0,,3.0,,3.0,1.0,9.0,,1.0,,,,,,2.0,1.0,2.0,2.0,1000.0,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,1.0,1.0,,1970.0,,,,1060.0,25.0,1.0,9500.0,28.0,1.0,1.0,6.0,5.0,50000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,11,11,34,37,32,10,51,11,30,64,71,76,33,8,63,32,36,39,10,55,45,36,11,13,57,43,29,38,60,43,37,35,10,32,41,61,10,61,40,34,11,9,40,31,37,11,51,11,37,77,54,59,45,12,53,32,45,31,9,57,36,31,11,10,66,40,34,29,82,36,33,35,11,41,34,50,12,55,37,10001040100
H,704,5,102,3,10,1078962,1093093,15,2,1,1.0,1.0,,1.0,5.0,2.0,1.0,2.0,0.0,2.0,3.0,140.0,2.0,2.0,,4.0,150.0,2.0,1.0,9.0,1400.0,1.0,,1.0,2400.0,1.0,1.0,2.0,1.0,9.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,850000.0,4.0,3.0,190.0,2000.0,2.0,181000.0,4.0,,,1.0,9500.0,54.0,1.0,1.0,1.0,2.0,181000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,2706.0,3.0,0.0,1.0,2250.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,26,24,15,24,4,13,14,16,4,13,26,17,5,4,15,15,5,25,14,16,4,4,16,4,26,16,14,15,26,15,4,15,25,23,16,15,25,4,14,15,5,4,14,4,24,17,15,16,24,16,5,16,25,24,16,14,24,4,17,16,25,25,13,22,5,16,17,14,3,15,28,15,4,5,16,17,4,29,16,10001040100
H,705,5,200,3,10,1078962,1093093,0,1,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001040100
H,706,5,101,3,10,1105263,1117630,12,1,1,3.0,1.0,,1.0,2.0,3.0,,2.0,,,3.0,80.0,2.0,3.0,250.0,4.0,10.0,4.0,,9.0,,2.0,,,,,,,1.0,6.0,2.0,600.0,1.0,9.0,,1.0,1.0,,1.0,2.0,1.0,3.0,,,1.0,3.0,40.0,1950.0,,,,714.0,21.0,1.0,9500.0,55.0,1.0,1.0,6.0,5.0,40000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,,0.0,0.0,0.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,22,19,22,12,12,12,12,11,3,4,3,12,22,13,4,13,13,4,4,15,3,3,3,12,13,12,13,15,20,22,26,13,4,13,20,14,13,23,4,13,4,4,3,13,12,12,13,12,19,23,19,13,3,13,24,12,11,17,21,12,21,21,21,13,13,12,11,13,4,4,3,12,22,14,4,14,13,3,20,10001040100
H,707,5,200,3,10,1105263,1117630,28,6,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,90.0,2.0,2.0,,4.0,190.0,1.0,1.0,9.0,1600.0,1.0,,1.0,1500.0,1.0,1.0,2.0,1.0,7.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,200000.0,2.0,3.0,930.0,2000.0,1.0,150000.0,2.0,,,5.0,5645.0,54.0,1.0,2.0,1.0,1.0,150000.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,6.0,0.0,0.0,3.0,15.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,2.0,1858.0,3.0,0.0,1.0,575.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,23,33,29,25,39,46,48,37,27,6,20,64,40,24,49,33,10,7,10,11,37,24,30,26,36,45,38,27,31,8,23,60,33,35,35,28,8,7,55,50,30,22,32,20,32,10,8,6,26,38,27,10,40,24,7,20,48,57,50,63,32,24,29,31,32,11,9,7,33,39,24,11,45,26,8,22,30,42,11,10001040100
H,708,5,103,3,10,1000000,1029928,0,1,3,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001040100
H,709,5,102,3,10,1105263,1117630,20,2,1,3.0,1.0,,1.0,4.0,2.0,,2.0,0.0,,3.0,120.0,2.0,3.0,800.0,2.0,,4.0,,9.0,600.0,2.0,,1.0,1000.0,1.0,1.0,,1.0,8.0,,,1.0,9.0,,1.0,2.0,300.0,1.0,2.0,1.0,1.0,,330000.0,2.0,3.0,600.0,1970.0,1.0,17300.0,4.0,,,1.0,9500.0,74.0,1.0,1.0,1.0,2.0,17300.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,101.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,1.0,1537.0,2.0,0.0,1.0,1250.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,19,18,18,32,6,20,21,34,19,32,35,6,6,19,21,22,20,35,6,6,19,20,18,34,6,19,19,39,19,32,34,6,6,20,20,20,20,34,37,33,19,21,22,5,35,21,21,6,20,5,5,33,35,20,22,20,21,6,32,36,18,19,19,6,33,21,20,6,18,5,6,33,39,22,20,20,20,6,6,10001040100
H,710,5,102,3,10,1059761,1070512,4,1,1,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,100.0,2.0,2.0,,2.0,,1.0,1.0,9.0,1200.0,1.0,,,,,3.0,2.0,1.0,5.0,,,1.0,9.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0,,300000.0,2.0,3.0,450.0,1960.0,,,,,,3.0,1141.0,84.0,1.0,1.0,6.0,5.0,27200.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,17.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,3.0,392.0,,0.0,1.0,1850.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,1,3,6,4,0,4,4,1,4,6,6,6,2,4,4,4,5,3,1,1,1,4,5,3,0,3,4,1,4,6,6,6,3,4,4,4,6,3,1,1,1,3,6,3,1,4,3,1,3,7,6,5,4,4,4,3,6,4,1,1,1,4,6,4,0,3,3,1,3,6,5,6,4,4,4,4,6,10001040100
H,711,5,103,3,10,1000000,1029928,0,1,2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001040100
H,712,5,104,3,10,1078962,1093093,0,1,3,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001040100
H,713,5,103,3,10,1059761,1070512,15,2,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,200.0,2.0,2.0,,4.0,80.0,1.0,1.0,9.0,1000.0,1.0,,,,,3.0,2.0,1.0,12.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,400000.0,2.0,3.0,2900.0,1970.0,1.0,283900.0,4.0,,,1.0,9500.0,68.0,1.0,1.0,1.0,2.0,283900.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,3.0,909.0,,0.0,1.0,3650.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,15,14,14,23,15,4,17,24,24,15,15,24,4,17,5,4,15,4,16,26,15,17,13,28,14,5,18,24,23,16,15,21,3,14,4,4,13,3,14,4,14,14,15,5,15,25,16,4,4,15,15,4,23,15,24,25,15,23,13,5,15,15,16,4,14,24,14,5,5,15,15,4,24,15,25,25,12,24,14,10001040100
H,714,5,101,3,10,1078962,1093093,0,1,3,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10001040100
H,715,5,104,3,10,1046695,1053131,71,3,1,1.0,1.0,,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,250.0,2.0,2.0,,2.0,,3.0,1.0,9.0,1500.0,1.0,,1.0,2300.0,1.0,1.0,2.0,1.0,9.0,,,1.0,9.0,2.0,1.0,1.0,400.0,1.0,1.0,1.0,1.0,,450000.0,2.0,3.0,600.0,2000.0,1.0,216000.0,4.0,,,3.0,1450.0,57.0,1.0,6.0,1.0,2.0,216000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,3.0,3000.0,2.0,0.0,1.0,4050.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,128,109,23,66,110,25,25,94,65,99,66,69,59,70,111,70,75,26,88,97,28,24,101,67,23,97,112,64,76,20,87,91,78,72,27,86,91,114,66,124,27,22,129,57,22,104,125,90,79,25,68,70,62,65,30,72,77,103,106,25,117,92,24,79,83,19,26,82,81,102,61,71,68,67,153,90,90,29,67,10001040100
H,716,5,300,3,10,1000000,1029928,20,5,1,1.0,1.0,,1.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,250.0,2.0,2.0,,3.0,,3.0,1.0,9.0,930.0,1.0,5800.0,1.0,1300.0,1.0,1.0,2.0,1.0,6.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,260000.0,4.0,2.0,,2010.0,1.0,133500.0,2.0,,,1.0,9500.0,37.0,1.0,1.0,1.0,1.0,133500.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,0.0,0.0,2.0,18.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,2033.0,3.0,0.0,0.0,1350.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,22,19,36,6,33,35,20,20,6,6,36,20,21,22,35,20,19,37,20,37,21,21,5,31,7,6,23,20,34,32,6,21,21,23,6,21,22,33,20,34,20,21,7,35,7,6,20,20,35,35,7,20,20,19,6,22,19,6,20,7,20,19,37,7,36,35,20,21,6,6,35,20,20,21,30,18,18,6,10001040100
H,717,5,300,3,10,1078962,1093093,8,1,1,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,130.0,2.0,2.0,,3.0,,3.0,1.0,9.0,100.0,1.0,,1.0,680.0,2.0,1.0,2.0,1.0,7.0,,,1.0,9.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,275000.0,1.0,2.0,,1990.0,,,,,,1.0,9500.0,47.0,1.0,3.0,4.0,9.0,42000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,,0.0,0.0,0.0,24.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,845.0,3.0,0.0,1.0,425.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7,14,12,2,3,7,9,6,7,12,2,7,5,7,12,2,8,8,15,2,7,1,2,13,13,10,8,8,11,2,16,6,8,10,2,11,9,10,15,2,5,2,4,12,10,12,13,8,9,3,14,6,6,7,3,13,9,7,2,10,7,16,12,2,2,7,7,7,9,9,3,8,7,8,13,2,5,7,2,10001040100
